,10,20,30,40,50,60,70,80,90,100,150,250,400,600,800,1000,1500,2000
1,"(0, 0, 1, 10, 0.5)","(0, 1, 1, 20, 0.5)","(0, 2, 1, 30, 0.5)","(0, 3, 1, 40, 0.5)","(0, 4, 1, 50, 0.5)","(0, 5, 1, 60, 0.5460000038146973)","(0, 6, 1, 70, 0.5400000214576721)","(0, 7, 1, 80, 0.5820000171661377)","(0, 8, 1, 90, 0.5569999814033508)","(0, 9, 1, 100, 0.5799999833106995)","(0, 10, 1, 150, 0.5630000233650208)","(0, 11, 1, 250, 0.597000002861023)","(0, 12, 1, 400, 0.6039999723434448)","(0, 13, 1, 600, 0.6809999942779541)","(0, 14, 1, 800, 0.7400000095367432)","(0, 15, 1, 1000, 0.7789999842643738)","(0, 16, 1, 1500, 0.8510000109672546)","(0, 17, 1, 2000, 0.8899999856948853)"
5,"(1, 0, 5, 10, 0.5)","(1, 1, 5, 20, 0.5)","(1, 2, 5, 30, 0.5789999961853027)","(1, 3, 5, 40, 0.5580000281333923)","(1, 4, 5, 50, 0.5870000123977661)","(1, 5, 5, 60, 0.5929999947547913)","(1, 6, 5, 70, 0.5759999752044678)","(1, 7, 5, 80, 0.6060000061988831)","(1, 8, 5, 90, 0.6150000095367432)","(1, 9, 5, 100, 0.6389999985694885)","(1, 10, 5, 150, 0.6510000228881836)","(1, 11, 5, 250, 0.7459999918937683)","(1, 12, 5, 400, 0.8450000286102295)","(1, 13, 5, 600, 0.9049999713897705)","(1, 14, 5, 800, 0.9210000038146973)","(1, 15, 5, 1000, 0.925000011920929)","(1, 16, 5, 1500, 0.9319999814033508)","(1, 17, 5, 2000, 0.9670000076293945)"
10,"(2, 0, 10, 10, 0.5)","(2, 1, 10, 20, 0.5519999861717224)","(2, 2, 10, 30, 0.5759999752044678)","(2, 3, 10, 40, 0.5699999928474426)","(2, 4, 10, 50, 0.6039999723434448)","(2, 5, 10, 60, 0.6159999966621399)","(2, 6, 10, 70, 0.6909999847412109)","(2, 7, 10, 80, 0.6990000009536743)","(2, 8, 10, 90, 0.6800000071525574)","(2, 9, 10, 100, 0.6850000023841858)","(2, 10, 10, 150, 0.753000020980835)","(2, 11, 10, 250, 0.8220000267028809)","(2, 12, 10, 400, 0.8730000257492065)","(2, 13, 10, 600, 0.9139999747276306)","(2, 14, 10, 800, 0.9340000152587891)","(2, 15, 10, 1000, 0.9610000252723694)","(2, 16, 10, 1500, 0.9539999961853027)","(2, 17, 10, 2000, 0.953000009059906)"
20,"(3, 0, 20, 10, 0.5)","(3, 1, 20, 20, 0.5630000233650208)","(3, 2, 20, 30, 0.5920000076293945)","(3, 3, 20, 40, 0.6520000100135803)","(3, 4, 20, 50, 0.6740000247955322)","(3, 5, 20, 60, 0.6980000138282776)","(3, 6, 20, 70, 0.7099999785423279)","(3, 7, 20, 80, 0.7400000095367432)","(3, 8, 20, 90, 0.753000020980835)","(3, 9, 20, 100, 0.7590000033378601)","(3, 10, 20, 150, 0.8119999766349792)","(3, 11, 20, 250, 0.8629999756813049)","(3, 12, 20, 400, 0.8999999761581421)","(3, 13, 20, 600, 0.9419999718666077)","(3, 14, 20, 800, 0.9359999895095825)","(3, 15, 20, 1000, 0.9549999833106995)","(3, 16, 20, 1500, 0.0)","(3, 17, 20, 2000, 0.0)"
30,"(4, 0, 30, 10, 0.5)","(4, 1, 30, 20, 0.5789999961853027)","(4, 2, 30, 30, 0.6359999775886536)","(4, 3, 30, 40, 0.6690000295639038)","(4, 4, 30, 50, 0.6899999976158142)","(4, 5, 30, 60, 0.7039999961853027)","(4, 6, 30, 70, 0.7070000171661377)","(4, 7, 30, 80, 0.746999979019165)","(4, 8, 30, 90, 0.7620000243186951)","(4, 9, 30, 100, 0.7900000214576721)","(4, 10, 30, 150, 0.8240000009536743)","(4, 11, 30, 250, 0.875)","(4, 12, 30, 400, 0.8949999809265137)","(4, 13, 30, 600, 0.9330000281333923)","(4, 14, 30, 800, 0.9580000042915344)","(4, 15, 30, 1000, 0.0)","(4, 16, 30, 1500, 0.0)","(4, 17, 30, 2000, 0.0)"
45,"(5, 0, 45, 10, 0.5)","(5, 1, 45, 20, 0.6100000143051147)","(5, 2, 45, 30, 0.6729999780654907)","(5, 3, 45, 40, 0.6610000133514404)","(5, 4, 45, 50, 0.6510000228881836)","(5, 5, 45, 60, 0.6850000023841858)","(5, 6, 45, 70, 0.7300000190734863)","(5, 7, 45, 80, 0.7390000224113464)","(5, 8, 45, 90, 0.7490000128746033)","(5, 9, 45, 100, 0.7670000195503235)","(5, 10, 45, 150, 0.8100000023841858)","(5, 11, 45, 250, 0.8659999966621399)","(5, 12, 45, 400, 0.9049999713897705)","(5, 13, 45, 600, 0.0)","(5, 14, 45, 800, 0.0)","(5, 15, 45, 1000, 0.0)","(5, 16, 45, 1500, 0.0)","(5, 17, 45, 2000, 0.0)"
60,"(6, 0, 60, 10, 0.5759999752044678)","(6, 1, 60, 20, 0.6309999823570251)","(6, 2, 60, 30, 0.6480000019073486)","(6, 3, 60, 40, 0.6729999780654907)","(6, 4, 60, 50, 0.7039999961853027)","(6, 5, 60, 60, 0.6949999928474426)","(6, 6, 60, 70, 0.7350000143051147)","(6, 7, 60, 80, 0.7310000061988831)","(6, 8, 60, 90, 0.75)","(6, 9, 60, 100, 0.7440000176429749)","(6, 10, 60, 150, 0.8149999976158142)","(6, 11, 60, 250, 0.8730000257492065)","(6, 12, 60, 400, 0.9160000085830688)","(6, 13, 60, 600, 0.0)","(6, 14, 60, 800, 0.0)","(6, 15, 60, 1000, 0.0)","(6, 16, 60, 1500, 0.0)","(6, 17, 60, 2000, 0.0)"
120,"(7, 0, 120, 10, 0.5)","(7, 1, 120, 20, 0.6110000014305115)","(7, 2, 120, 30, 0.597000002861023)","(7, 3, 120, 40, 0.6359999775886536)","(7, 4, 120, 50, 0.6610000133514404)","(7, 5, 120, 60, 0.6600000262260437)","(7, 6, 120, 70, 0.7070000171661377)","(7, 7, 120, 80, 0.6890000104904175)","(7, 8, 120, 90, 0.7250000238418579)","(7, 9, 120, 100, 0.6930000185966492)","(7, 10, 120, 150, 0.7829999923706055)","(7, 11, 120, 250, 0.0)","(7, 12, 120, 400, 0.0)","(7, 13, 120, 600, 0.0)","(7, 14, 120, 800, 0.0)","(7, 15, 120, 1000, 0.0)","(7, 16, 120, 1500, 0.0)","(7, 17, 120, 2000, 0.0)"
180,"(8, 0, 180, 10, 0.5519999861717224)","(8, 1, 180, 20, 0.5870000123977661)","(8, 2, 180, 30, 0.6079999804496765)","(8, 3, 180, 40, 0.6179999709129333)","(8, 4, 180, 50, 0.625)","(8, 5, 180, 60, 0.6439999938011169)","(8, 6, 180, 70, 0.6510000228881836)","(8, 7, 180, 80, 0.6359999775886536)","(8, 8, 180, 90, 0.6240000128746033)","(8, 9, 180, 100, 0.6629999876022339)","(8, 10, 180, 150, 0.0)","(8, 11, 180, 250, 0.0)","(8, 12, 180, 400, 0.0)","(8, 13, 180, 600, 0.0)","(8, 14, 180, 800, 0.0)","(8, 15, 180, 1000, 0.0)","(8, 16, 180, 1500, 0.0)","(8, 17, 180, 2000, 0.0)"
240,"(9, 0, 240, 10, 0.5)","(9, 1, 240, 20, 0.6029999852180481)","(9, 2, 240, 30, 0.6100000143051147)","(9, 3, 240, 40, 0.6460000276565552)","(9, 4, 240, 50, 0.6420000195503235)","(9, 5, 240, 60, 0.652999997138977)","(9, 6, 240, 70, 0.6740000247955322)","(9, 7, 240, 80, 0.652999997138977)","(9, 8, 240, 90, 0.6959999799728394)","(9, 9, 240, 100, 0.7160000205039978)","(9, 10, 240, 150, 0.0)","(9, 11, 240, 250, 0.0)","(9, 12, 240, 400, 0.0)","(9, 13, 240, 600, 0.0)","(9, 14, 240, 800, 0.0)","(9, 15, 240, 1000, 0.0)","(9, 16, 240, 1500, 0.0)","(9, 17, 240, 2000, 0.0)"
