,10,20,30,40,50,60,70,80,90,100,150,250,400,600,800,1000,1500,2000
1,"(0, 0, 1, 10, 0.6129999756813049)","(0, 1, 1, 20, 0.6200000047683716)","(0, 2, 1, 30, 0.6159999966621399)","(0, 3, 1, 40, 0.6269999742507935)","(0, 4, 1, 50, 0.6100000143051147)","(0, 5, 1, 60, 0.6209999918937683)","(0, 6, 1, 70, 0.6159999966621399)","(0, 7, 1, 80, 0.6240000128746033)","(0, 8, 1, 90, 0.628000020980835)","(0, 9, 1, 100, 0.6299999952316284)","(0, 10, 1, 150, 0.6119999885559082)","(0, 11, 1, 250, 0.6259999871253967)","(0, 12, 1, 400, 0.6489999890327454)","(0, 13, 1, 600, 0.6880000233650208)","(0, 14, 1, 800, 0.6899999976158142)","(0, 15, 1, 1000, 0.6949999928474426)","(0, 16, 1, 1500, 0.7390000224113464)","(0, 17, 1, 2000, 0.7850000262260437)"
5,"(1, 0, 5, 10, 0.6100000143051147)","(1, 1, 5, 20, 0.6100000143051147)","(1, 2, 5, 30, 0.6269999742507935)","(1, 3, 5, 40, 0.6290000081062317)","(1, 4, 5, 50, 0.6399999856948853)","(1, 5, 5, 60, 0.6539999842643738)","(1, 6, 5, 70, 0.625)","(1, 7, 5, 80, 0.6489999890327454)","(1, 8, 5, 90, 0.671999990940094)","(1, 9, 5, 100, 0.6769999861717224)","(1, 10, 5, 150, 0.6869999766349792)","(1, 11, 5, 250, 0.7409999966621399)","(1, 12, 5, 400, 0.7670000195503235)","(1, 13, 5, 600, 0.8149999976158142)","(1, 14, 5, 800, 0.828000009059906)","(1, 15, 5, 1000, 0.8740000128746033)","(1, 16, 5, 1500, 0.8790000081062317)","(1, 17, 5, 2000, 0.9330000281333923)"
10,"(2, 0, 10, 10, 0.625)","(2, 1, 10, 20, 0.6330000162124634)","(2, 2, 10, 30, 0.6389999985694885)","(2, 3, 10, 40, 0.6359999775886536)","(2, 4, 10, 50, 0.6759999990463257)","(2, 5, 10, 60, 0.6600000262260437)","(2, 6, 10, 70, 0.6859999895095825)","(2, 7, 10, 80, 0.6990000009536743)","(2, 8, 10, 90, 0.6850000023841858)","(2, 9, 10, 100, 0.6940000057220459)","(2, 10, 10, 150, 0.7549999952316284)","(2, 11, 10, 250, 0.800000011920929)","(2, 12, 10, 400, 0.7979999780654907)","(2, 13, 10, 600, 0.8790000081062317)","(2, 14, 10, 800, 0.9010000228881836)","(2, 15, 10, 1000, 0.9300000071525574)","(2, 16, 10, 1500, 0.9660000205039978)","(2, 17, 10, 2000, 0.9789999723434448)"
20,"(3, 0, 20, 10, 0.609000027179718)","(3, 1, 20, 20, 0.640999972820282)","(3, 2, 20, 30, 0.6819999814033508)","(3, 3, 20, 40, 0.6859999895095825)","(3, 4, 20, 50, 0.7070000171661377)","(3, 5, 20, 60, 0.6819999814033508)","(3, 6, 20, 70, 0.7329999804496765)","(3, 7, 20, 80, 0.7450000047683716)","(3, 8, 20, 90, 0.7260000109672546)","(3, 9, 20, 100, 0.7459999918937683)","(3, 10, 20, 150, 0.7960000038146973)","(3, 11, 20, 250, 0.8370000123977661)","(3, 12, 20, 400, 0.9010000228881836)","(3, 13, 20, 600, 0.9350000023841858)","(3, 14, 20, 800, 0.9670000076293945)","(3, 15, 20, 1000, 0.9800000190734863)","(3, 16, 20, 1500, 0.0)","(3, 17, 20, 2000, 0.0)"
30,"(4, 0, 30, 10, 0.6129999756813049)","(4, 1, 30, 20, 0.6589999794960022)","(4, 2, 30, 30, 0.6949999928474426)","(4, 3, 30, 40, 0.7210000157356262)","(4, 4, 30, 50, 0.7480000257492065)","(4, 5, 30, 60, 0.7540000081062317)","(4, 6, 30, 70, 0.7620000243186951)","(4, 7, 30, 80, 0.7599999904632568)","(4, 8, 30, 90, 0.800000011920929)","(4, 9, 30, 100, 0.8009999990463257)","(4, 10, 30, 150, 0.8420000076293945)","(4, 11, 30, 250, 0.9089999794960022)","(4, 12, 30, 400, 0.9290000200271606)","(4, 13, 30, 600, 0.9570000171661377)","(4, 14, 30, 800, 0.9829999804496765)","(4, 15, 30, 1000, 0.0)","(4, 16, 30, 1500, 0.0)","(4, 17, 30, 2000, 0.0)"
45,"(5, 0, 45, 10, 0.6600000262260437)","(5, 1, 45, 20, 0.6710000038146973)","(5, 2, 45, 30, 0.7360000014305115)","(5, 3, 45, 40, 0.7039999961853027)","(5, 4, 45, 50, 0.7649999856948853)","(5, 5, 45, 60, 0.7630000114440918)","(5, 6, 45, 70, 0.8130000233650208)","(5, 7, 45, 80, 0.7950000166893005)","(5, 8, 45, 90, 0.8360000252723694)","(5, 9, 45, 100, 0.8339999914169312)","(5, 10, 45, 150, 0.8700000047683716)","(5, 11, 45, 250, 0.9340000152587891)","(5, 12, 45, 400, 0.9570000171661377)","(5, 13, 45, 600, 0.0)","(5, 14, 45, 800, 0.0)","(5, 15, 45, 1000, 0.0)","(5, 16, 45, 1500, 0.0)","(5, 17, 45, 2000, 0.0)"
60,"(6, 0, 60, 10, 0.6729999780654907)","(6, 1, 60, 20, 0.703000009059906)","(6, 2, 60, 30, 0.722000002861023)","(6, 3, 60, 40, 0.7680000066757202)","(6, 4, 60, 50, 0.8109999895095825)","(6, 5, 60, 60, 0.8059999942779541)","(6, 6, 60, 70, 0.843999981880188)","(6, 7, 60, 80, 0.8420000076293945)","(6, 8, 60, 90, 0.8429999947547913)","(6, 9, 60, 100, 0.8679999709129333)","(6, 10, 60, 150, 0.8930000066757202)","(6, 11, 60, 250, 0.9570000171661377)","(6, 12, 60, 400, 0.9769999980926514)","(6, 13, 60, 600, 0.0)","(6, 14, 60, 800, 0.0)","(6, 15, 60, 1000, 0.0)","(6, 16, 60, 1500, 0.0)","(6, 17, 60, 2000, 0.0)"
120,"(7, 0, 120, 10, 0.6880000233650208)","(7, 1, 120, 20, 0.7680000066757202)","(7, 2, 120, 30, 0.7480000257492065)","(7, 3, 120, 40, 0.8379999995231628)","(7, 4, 120, 50, 0.843999981880188)","(7, 5, 120, 60, 0.8629999756813049)","(7, 6, 120, 70, 0.8700000047683716)","(7, 7, 120, 80, 0.9150000214576721)","(7, 8, 120, 90, 0.9259999990463257)","(7, 9, 120, 100, 0.9210000038146973)","(7, 10, 120, 150, 0.9480000138282776)","(7, 11, 120, 250, 0.0)","(7, 12, 120, 400, 0.0)","(7, 13, 120, 600, 0.0)","(7, 14, 120, 800, 0.0)","(7, 15, 120, 1000, 0.0)","(7, 16, 120, 1500, 0.0)","(7, 17, 120, 2000, 0.0)"
180,"(8, 0, 180, 10, 0.7480000257492065)","(8, 1, 180, 20, 0.7400000095367432)","(8, 2, 180, 30, 0.8109999895095825)","(8, 3, 180, 40, 0.8579999804496765)","(8, 4, 180, 50, 0.8939999938011169)","(8, 5, 180, 60, 0.9070000052452087)","(8, 6, 180, 70, 0.9079999923706055)","(8, 7, 180, 80, 0.9020000100135803)","(8, 8, 180, 90, 0.9430000185966492)","(8, 9, 180, 100, 0.9520000219345093)","(8, 10, 180, 150, 0.0)","(8, 11, 180, 250, 0.0)","(8, 12, 180, 400, 0.0)","(8, 13, 180, 600, 0.0)","(8, 14, 180, 800, 0.0)","(8, 15, 180, 1000, 0.0)","(8, 16, 180, 1500, 0.0)","(8, 17, 180, 2000, 0.0)"
240,"(9, 0, 240, 10, 0.6980000138282776)","(9, 1, 240, 20, 0.8069999814033508)","(9, 2, 240, 30, 0.8529999852180481)","(9, 3, 240, 40, 0.8759999871253967)","(9, 4, 240, 50, 0.9100000262260437)","(9, 5, 240, 60, 0.9049999713897705)","(9, 6, 240, 70, 0.9290000200271606)","(9, 7, 240, 80, 0.9269999861717224)","(9, 8, 240, 90, 0.9010000228881836)","(9, 9, 240, 100, 0.9549999833106995)","(9, 10, 240, 150, 0.0)","(9, 11, 240, 250, 0.0)","(9, 12, 240, 400, 0.0)","(9, 13, 240, 600, 0.0)","(9, 14, 240, 800, 0.0)","(9, 15, 240, 1000, 0.0)","(9, 16, 240, 1500, 0.0)","(9, 17, 240, 2000, 0.0)"
