,10,20,30,40,50,60,70,80,90,100,150,250,400,600,800,1000,1500,2000
1,"(0, 0, 1, 10, 0.9240000247955322)","(0, 1, 1, 20, 0.9269999861717224)","(0, 2, 1, 30, 0.9330000281333923)","(0, 3, 1, 40, 0.9409999847412109)","(0, 4, 1, 50, 0.9399999976158142)","(0, 5, 1, 60, 0.9430000185966492)","(0, 6, 1, 70, 0.9309999942779541)","(0, 7, 1, 80, 0.9380000233650208)","(0, 8, 1, 90, 0.9419999718666077)","(0, 9, 1, 100, 0.9580000042915344)","(0, 10, 1, 150, 0.949999988079071)","(0, 11, 1, 250, 0.9739999771118164)","(0, 12, 1, 400, 0.9800000190734863)","(0, 13, 1, 600, 0.9909999966621399)","(0, 14, 1, 800, 0.9940000176429749)","(0, 15, 1, 1000, 0.9990000128746033)","(0, 16, 1, 1500, 0.9940000176429749)","(0, 17, 1, 2000, 1.0)"
5,"(1, 0, 5, 10, 0.9240000247955322)","(1, 1, 5, 20, 0.9470000267028809)","(1, 2, 5, 30, 0.9409999847412109)","(1, 3, 5, 40, 0.9559999704360962)","(1, 4, 5, 50, 0.9470000267028809)","(1, 5, 5, 60, 0.9779999852180481)","(1, 6, 5, 70, 0.968999981880188)","(1, 7, 5, 80, 0.9729999899864197)","(1, 8, 5, 90, 0.9779999852180481)","(1, 9, 5, 100, 0.9810000061988831)","(1, 10, 5, 150, 0.9900000095367432)","(1, 11, 5, 250, 0.996999979019165)","(1, 12, 5, 400, 0.996999979019165)","(1, 13, 5, 600, 1.0)","(1, 14, 5, 800, 1.0)","(1, 15, 5, 1000, 1.0)","(1, 16, 5, 1500, 1.0)","(1, 17, 5, 2000, 1.0)"
10,"(2, 0, 10, 10, 0.9359999895095825)","(2, 1, 10, 20, 0.9350000023841858)","(2, 2, 10, 30, 0.9589999914169312)","(2, 3, 10, 40, 0.9679999947547913)","(2, 4, 10, 50, 0.9869999885559082)","(2, 5, 10, 60, 0.9900000095367432)","(2, 6, 10, 70, 0.9909999966621399)","(2, 7, 10, 80, 0.9890000224113464)","(2, 8, 10, 90, 0.996999979019165)","(2, 9, 10, 100, 0.9919999837875366)","(2, 10, 10, 150, 0.996999979019165)","(2, 11, 10, 250, 1.0)","(2, 12, 10, 400, 1.0)","(2, 13, 10, 600, 1.0)","(2, 14, 10, 800, 1.0)","(2, 15, 10, 1000, 1.0)","(2, 16, 10, 1500, 0.0)","(2, 17, 10, 2000, 0.0)"
20,"(3, 0, 20, 10, 0.9549999833106995)","(3, 1, 20, 20, 0.9789999723434448)","(3, 2, 20, 30, 0.9909999966621399)","(3, 3, 20, 40, 0.9950000047683716)","(3, 4, 20, 50, 0.996999979019165)","(3, 5, 20, 60, 0.9990000128746033)","(3, 6, 20, 70, 0.9990000128746033)","(3, 7, 20, 80, 0.9990000128746033)","(3, 8, 20, 90, 1.0)","(3, 9, 20, 100, 1.0)","(3, 10, 20, 150, 1.0)","(3, 11, 20, 250, 0.9959999918937683)","(3, 12, 20, 400, 1.0)","(3, 13, 20, 600, 1.0)","(3, 14, 20, 800, 0.0)","(3, 15, 20, 1000, 0.0)","(3, 16, 20, 1500, 0.0)","(3, 17, 20, 2000, 0.0)"
30,"(4, 0, 30, 10, 0.9549999833106995)","(4, 1, 30, 20, 0.9810000061988831)","(4, 2, 30, 30, 0.9929999709129333)","(4, 3, 30, 40, 0.9980000257492065)","(4, 4, 30, 50, 0.9990000128746033)","(4, 5, 30, 60, 0.9990000128746033)","(4, 6, 30, 70, 1.0)","(4, 7, 30, 80, 1.0)","(4, 8, 30, 90, 1.0)","(4, 9, 30, 100, 1.0)","(4, 10, 30, 150, 1.0)","(4, 11, 30, 250, 1.0)","(4, 12, 30, 400, 1.0)","(4, 13, 30, 600, 0.0)","(4, 14, 30, 800, 0.0)","(4, 15, 30, 1000, 0.0)","(4, 16, 30, 1500, 0.0)","(4, 17, 30, 2000, 0.0)"
45,"(5, 0, 45, 10, 0.9769999980926514)","(5, 1, 45, 20, 0.9869999885559082)","(5, 2, 45, 30, 0.9990000128746033)","(5, 3, 45, 40, 1.0)","(5, 4, 45, 50, 0.9990000128746033)","(5, 5, 45, 60, 1.0)","(5, 6, 45, 70, 1.0)","(5, 7, 45, 80, 1.0)","(5, 8, 45, 90, 1.0)","(5, 9, 45, 100, 1.0)","(5, 10, 45, 150, 1.0)","(5, 11, 45, 250, 1.0)","(5, 12, 45, 400, 0.0)","(5, 13, 45, 600, 0.0)","(5, 14, 45, 800, 0.0)","(5, 15, 45, 1000, 0.0)","(5, 16, 45, 1500, 0.0)","(5, 17, 45, 2000, 0.0)"
60,"(6, 0, 60, 10, 0.9819999933242798)","(6, 1, 60, 20, 0.996999979019165)","(6, 2, 60, 30, 1.0)","(6, 3, 60, 40, 1.0)","(6, 4, 60, 50, 1.0)","(6, 5, 60, 60, 1.0)","(6, 6, 60, 70, 1.0)","(6, 7, 60, 80, 1.0)","(6, 8, 60, 90, 1.0)","(6, 9, 60, 100, 1.0)","(6, 10, 60, 150, 1.0)","(6, 11, 60, 250, 0.0)","(6, 12, 60, 400, 0.0)","(6, 13, 60, 600, 0.0)","(6, 14, 60, 800, 0.0)","(6, 15, 60, 1000, 0.0)","(6, 16, 60, 1500, 0.0)","(6, 17, 60, 2000, 0.0)"
120,"(7, 0, 120, 10, 0.9940000176429749)","(7, 1, 120, 20, 0.9980000257492065)","(7, 2, 120, 30, 1.0)","(7, 3, 120, 40, 1.0)","(7, 4, 120, 50, 1.0)","(7, 5, 120, 60, 1.0)","(7, 6, 120, 70, 1.0)","(7, 7, 120, 80, 1.0)","(7, 8, 120, 90, 1.0)","(7, 9, 120, 100, 1.0)","(7, 10, 120, 150, 0.0)","(7, 11, 120, 250, 0.0)","(7, 12, 120, 400, 0.0)","(7, 13, 120, 600, 0.0)","(7, 14, 120, 800, 0.0)","(7, 15, 120, 1000, 0.0)","(7, 16, 120, 1500, 0.0)","(7, 17, 120, 2000, 0.0)"
180,"(8, 0, 180, 10, 0.9990000128746033)","(8, 1, 180, 20, 1.0)","(8, 2, 180, 30, 1.0)","(8, 3, 180, 40, 1.0)","(8, 4, 180, 50, 1.0)","(8, 5, 180, 60, 1.0)","(8, 6, 180, 70, 0.0)","(8, 7, 180, 80, 0.0)","(8, 8, 180, 90, 0.0)","(8, 9, 180, 100, 0.0)","(8, 10, 180, 150, 0.0)","(8, 11, 180, 250, 0.0)","(8, 12, 180, 400, 0.0)","(8, 13, 180, 600, 0.0)","(8, 14, 180, 800, 0.0)","(8, 15, 180, 1000, 0.0)","(8, 16, 180, 1500, 0.0)","(8, 17, 180, 2000, 0.0)"
240,"(9, 0, 240, 10, 0.9990000128746033)","(9, 1, 240, 20, 1.0)","(9, 2, 240, 30, 1.0)","(9, 3, 240, 40, 1.0)","(9, 4, 240, 50, 1.0)","(9, 5, 240, 60, 0.0)","(9, 6, 240, 70, 0.0)","(9, 7, 240, 80, 0.0)","(9, 8, 240, 90, 0.0)","(9, 9, 240, 100, 0.0)","(9, 10, 240, 150, 0.0)","(9, 11, 240, 250, 0.0)","(9, 12, 240, 400, 0.0)","(9, 13, 240, 600, 0.0)","(9, 14, 240, 800, 0.0)","(9, 15, 240, 1000, 0.0)","(9, 16, 240, 1500, 0.0)","(9, 17, 240, 2000, 0.0)"
