,0.01,0.020000000000000004,0.030000000000000006,0.04000000000000001,0.05000000000000001,0.06000000000000001,0.07,0.08,0.09000000000000001,0.1
0.01,"(0, 0, '0.01', '0.01', 0.7630000114440918)","(0, 1, '0.01', '0.020000000000000004', 0.9789999723434448)","(0, 2, '0.01', '0.030000000000000006', 0.9929999709129333)","(0, 3, '0.01', '0.04000000000000001', 1.0)","(0, 4, '0.01', '0.05000000000000001', 1.0)","(0, 5, '0.01', '0.06000000000000001', 1.0)","(0, 6, '0.01', '0.07', 1.0)","(0, 7, '0.01', '0.08', 1.0)","(0, 8, '0.01', '0.09000000000000001', 1.0)","(0, 9, '0.01', '0.1', 1.0)"
0.020000000000000004,"(1, 0, '0.020000000000000004', '0.01', 0.7490000128746033)","(1, 1, '0.020000000000000004', '0.020000000000000004', 0.8569999933242798)","(1, 2, '0.020000000000000004', '0.030000000000000006', 0.9819999933242798)","(1, 3, '0.020000000000000004', '0.04000000000000001', 0.9990000128746033)","(1, 4, '0.020000000000000004', '0.05000000000000001', 1.0)","(1, 5, '0.020000000000000004', '0.06000000000000001', 1.0)","(1, 6, '0.020000000000000004', '0.07', 1.0)","(1, 7, '0.020000000000000004', '0.08', 1.0)","(1, 8, '0.020000000000000004', '0.09000000000000001', 1.0)","(1, 9, '0.020000000000000004', '0.1', 1.0)"
0.030000000000000006,"(2, 0, '0.030000000000000006', '0.01', 0.9359999895095825)","(2, 1, '0.030000000000000006', '0.020000000000000004', 0.6510000228881836)","(2, 2, '0.030000000000000006', '0.030000000000000006', 0.8920000195503235)","(2, 3, '0.030000000000000006', '0.04000000000000001', 0.9869999885559082)","(2, 4, '0.030000000000000006', '0.05000000000000001', 0.9990000128746033)","(2, 5, '0.030000000000000006', '0.06000000000000001', 1.0)","(2, 6, '0.030000000000000006', '0.07', 1.0)","(2, 7, '0.030000000000000006', '0.08', 1.0)","(2, 8, '0.030000000000000006', '0.09000000000000001', 1.0)","(2, 9, '0.030000000000000006', '0.1', 1.0)"
0.04000000000000001,"(3, 0, '0.04000000000000001', '0.01', 0.9919999837875366)","(3, 1, '0.04000000000000001', '0.020000000000000004', 0.8510000109672546)","(3, 2, '0.04000000000000001', '0.030000000000000006', 0.7210000157356262)","(3, 3, '0.04000000000000001', '0.04000000000000001', 0.925000011920929)","(3, 4, '0.04000000000000001', '0.05000000000000001', 0.9919999837875366)","(3, 5, '0.04000000000000001', '0.06000000000000001', 1.0)","(3, 6, '0.04000000000000001', '0.07', 1.0)","(3, 7, '0.04000000000000001', '0.08', 1.0)","(3, 8, '0.04000000000000001', '0.09000000000000001', 1.0)","(3, 9, '0.04000000000000001', '0.1', 1.0)"
0.05000000000000001,"(4, 0, '0.05000000000000001', '0.01', 0.9990000128746033)","(4, 1, '0.05000000000000001', '0.020000000000000004', 0.9610000252723694)","(4, 2, '0.05000000000000001', '0.030000000000000006', 0.7480000257492065)","(4, 3, '0.05000000000000001', '0.04000000000000001', 0.7710000276565552)","(4, 4, '0.05000000000000001', '0.05000000000000001', 0.9309999942779541)","(4, 5, '0.05000000000000001', '0.06000000000000001', 0.9860000014305115)","(4, 6, '0.05000000000000001', '0.07', 0.9990000128746033)","(4, 7, '0.05000000000000001', '0.08', 1.0)","(4, 8, '0.05000000000000001', '0.09000000000000001', 1.0)","(4, 9, '0.05000000000000001', '0.1', 1.0)"
0.06000000000000001,"(5, 0, '0.06000000000000001', '0.01', 1.0)","(5, 1, '0.06000000000000001', '0.020000000000000004', 0.9929999709129333)","(5, 2, '0.06000000000000001', '0.030000000000000006', 0.9070000052452087)","(5, 3, '0.06000000000000001', '0.04000000000000001', 0.7070000171661377)","(5, 4, '0.06000000000000001', '0.05000000000000001', 0.8500000238418579)","(5, 5, '0.06000000000000001', '0.06000000000000001', 0.9629999995231628)","(5, 6, '0.06000000000000001', '0.07', 0.9879999756813049)","(5, 7, '0.06000000000000001', '0.08', 0.9990000128746033)","(5, 8, '0.06000000000000001', '0.09000000000000001', 0.9990000128746033)","(5, 9, '0.06000000000000001', '0.1', 1.0)"
0.07,"(6, 0, '0.07', '0.01', 1.0)","(6, 1, '0.07', '0.020000000000000004', 0.9990000128746033)","(6, 2, '0.07', '0.030000000000000006', 0.9660000205039978)","(6, 3, '0.07', '0.04000000000000001', 0.8109999895095825)","(6, 4, '0.07', '0.05000000000000001', 0.7110000252723694)","(6, 5, '0.07', '0.06000000000000001', 0.8920000195503235)","(6, 6, '0.07', '0.07', 0.9729999899864197)","(6, 7, '0.07', '0.08', 0.9940000176429749)","(6, 8, '0.07', '0.09000000000000001', 1.0)","(6, 9, '0.07', '0.1', 1.0)"
0.08,"(7, 0, '0.08', '0.01', 1.0)","(7, 1, '0.08', '0.020000000000000004', 1.0)","(7, 2, '0.08', '0.030000000000000006', 0.9890000224113464)","(7, 3, '0.08', '0.04000000000000001', 0.9100000262260437)","(7, 4, '0.08', '0.05000000000000001', 0.7329999804496765)","(7, 5, '0.08', '0.06000000000000001', 0.7770000100135803)","(7, 6, '0.08', '0.07', 0.9210000038146973)","(7, 7, '0.08', '0.08', 0.9700000286102295)","(7, 8, '0.08', '0.09000000000000001', 0.9959999918937683)","(7, 9, '0.08', '0.1', 1.0)"
0.09000000000000001,"(8, 0, '0.09000000000000001', '0.01', 1.0)","(8, 1, '0.09000000000000001', '0.020000000000000004', 1.0)","(8, 2, '0.09000000000000001', '0.030000000000000006', 0.996999979019165)","(8, 3, '0.09000000000000001', '0.04000000000000001', 0.9760000109672546)","(8, 4, '0.09000000000000001', '0.05000000000000001', 0.8489999771118164)","(8, 5, '0.09000000000000001', '0.06000000000000001', 0.7390000224113464)","(8, 6, '0.09000000000000001', '0.07', 0.8519999980926514)","(8, 7, '0.09000000000000001', '0.08', 0.9480000138282776)","(8, 8, '0.09000000000000001', '0.09000000000000001', 0.9919999837875366)","(8, 9, '0.09000000000000001', '0.1', 0.9940000176429749)"
0.1,"(9, 0, '0.1', '0.01', 1.0)","(9, 1, '0.1', '0.020000000000000004', 1.0)","(9, 2, '0.1', '0.030000000000000006', 1.0)","(9, 3, '0.1', '0.04000000000000001', 0.9900000095367432)","(9, 4, '0.1', '0.05000000000000001', 0.9269999861717224)","(9, 5, '0.1', '0.06000000000000001', 0.8230000138282776)","(9, 6, '0.1', '0.07', 0.7570000290870667)","(9, 7, '0.1', '0.08', 0.8679999709129333)","(9, 8, '0.1', '0.09000000000000001', 0.9580000042915344)","(9, 9, '0.1', '0.1', 0.9900000095367432)"
