,150,200,250,500,750,1000,1500,2000,2500,3000
1,"(0, 0, 1, 10, 0.7889999747276306)","(0, 1, 1, 20, 0.7919999957084656)","(0, 2, 1, 30, 0.8090000152587891)","(0, 3, 1, 40, 0.8029999732971191)","(0, 4, 1, 50, 0.8289999961853027)","(0, 5, 1, 60, 0.8289999961853027)","(0, 6, 1, 70, 0.8220000267028809)","(0, 7, 1, 80, 0.8360000252723694)","(0, 8, 1, 90, 0.8270000219345093)","(0, 9, 1, 100, 0.8259999752044678)"
2,"(1, 0, 2, 10, 0.7979999780654907)","(1, 1, 2, 20, 0.8259999752044678)","(1, 2, 2, 30, 0.8259999752044678)","(1, 3, 2, 40, 0.8140000104904175)","(1, 4, 2, 50, 0.8209999799728394)","(1, 5, 2, 60, 0.824999988079071)","(1, 6, 2, 70, 0.8299999833106995)","(1, 7, 2, 80, 0.8420000076293945)","(1, 8, 2, 90, 0.8199999928474426)","(1, 9, 2, 100, 0.8220000267028809)"
5,"(2, 0, 5, 10, 0.8050000071525574)","(2, 1, 5, 20, 0.8140000104904175)","(2, 2, 5, 30, 0.8040000200271606)","(2, 3, 5, 40, 0.8309999704360962)","(2, 4, 5, 50, 0.8289999961853027)","(2, 5, 5, 60, 0.8569999933242798)","(2, 6, 5, 70, 0.8790000081062317)","(2, 7, 5, 80, 0.8460000157356262)","(2, 8, 5, 90, 0.8870000243186951)","(2, 9, 5, 100, 0.8899999856948853)"
7,"(3, 0, 7, 10, 0.8230000138282776)","(3, 1, 7, 20, 0.8109999895095825)","(3, 2, 7, 30, 0.8479999899864197)","(3, 3, 7, 40, 0.8379999995231628)","(3, 4, 7, 50, 0.8510000109672546)","(3, 5, 7, 60, 0.8830000162124634)","(3, 6, 7, 70, 0.875)","(3, 7, 7, 80, 0.8939999938011169)","(3, 8, 7, 90, 0.921999990940094)","(3, 9, 7, 100, 0.9010000228881836)"
10,"(4, 0, 10, 10, 0.7900000214576721)","(4, 1, 10, 20, 0.8050000071525574)","(4, 2, 10, 30, 0.8330000042915344)","(4, 3, 10, 40, 0.8709999918937683)","(4, 4, 10, 50, 0.8799999952316284)","(4, 5, 10, 60, 0.902999997138977)","(4, 6, 10, 70, 0.925000011920929)","(4, 7, 10, 80, 0.9359999895095825)","(4, 8, 10, 90, 0.9409999847412109)","(4, 9, 10, 100, 0.9309999942779541)"
12,"(5, 0, 12, 10, 0.8169999718666077)","(5, 1, 12, 20, 0.8100000023841858)","(5, 2, 12, 30, 0.8650000095367432)","(5, 3, 12, 40, 0.8859999775886536)","(5, 4, 12, 50, 0.9259999990463257)","(5, 5, 12, 60, 0.9359999895095825)","(5, 6, 12, 70, 0.9150000214576721)","(5, 7, 12, 80, 0.9470000267028809)","(5, 8, 12, 90, 0.9679999947547913)","(5, 9, 12, 100, 0.9380000233650208)"
15,"(6, 0, 15, 10, 0.8180000185966492)","(6, 1, 15, 20, 0.847000002861023)","(6, 2, 15, 30, 0.8629999756813049)","(6, 3, 15, 40, 0.8899999856948853)","(6, 4, 15, 50, 0.9160000085830688)","(6, 5, 15, 60, 0.9359999895095825)","(6, 6, 15, 70, 0.9480000138282776)","(6, 7, 15, 80, 0.9580000042915344)","(6, 8, 15, 90, 0.9800000190734863)","(6, 9, 15, 100, 0.9769999980926514)"
20,"(7, 0, 20, 10, 0.8100000023841858)","(7, 1, 20, 20, 0.8569999933242798)","(7, 2, 20, 30, 0.8870000243186951)","(7, 3, 20, 40, 0.9039999842643738)","(7, 4, 20, 50, 0.9319999814033508)","(7, 5, 20, 60, 0.9440000057220459)","(7, 6, 20, 70, 0.9520000219345093)","(7, 7, 20, 80, 0.972000002861023)","(7, 8, 20, 90, 0.9760000109672546)","(7, 9, 20, 100, 0.9760000109672546)"
25,"(8, 0, 25, 10, 0.8149999976158142)","(8, 1, 25, 20, 0.8679999709129333)","(8, 2, 25, 30, 0.9020000100135803)","(8, 3, 25, 40, 0.925000011920929)","(8, 4, 25, 50, 0.9610000252723694)","(8, 5, 25, 60, 0.9629999995231628)","(8, 6, 25, 70, 0.9710000157356262)","(8, 7, 25, 80, 0.9810000061988831)","(8, 8, 25, 90, 0.9860000014305115)","(8, 9, 25, 100, 0.9789999723434448)"
30,"(9, 0, 30, 10, 0.8560000061988831)","(9, 1, 30, 20, 0.8980000019073486)","(9, 2, 30, 30, 0.9110000133514404)","(9, 3, 30, 40, 0.9509999752044678)","(9, 4, 30, 50, 0.9599999785423279)","(9, 5, 30, 60, 0.9769999980926514)","(9, 6, 30, 70, 0.972000002861023)","(9, 7, 30, 80, 0.9769999980926514)","(9, 8, 30, 90, 0.9879999756813049)","(9, 9, 30, 100, 0.9879999756813049)"
