,0.01,0.020000000000000004,0.030000000000000006,0.04000000000000001,0.05000000000000001,0.06000000000000001,0.07,0.08,0.09000000000000001,0.1
2.0,"(0, 0, '0.01', '2.0', 0.8809999823570251)","(0, 1, '0.01', '3.111111111111111', 0.9179999828338623)","(0, 2, '0.01', '4.222222222222222', 0.8690000176429749)","(0, 3, '0.01', '5.333333333333334', 0.9079999923706055)","(0, 4, '0.01', '6.444444444444445', 0.8809999823570251)","(0, 5, '0.01', '7.555555555555555', 0.8679999709129333)","(0, 6, '0.01', '8.666666666666668', 0.8389999866485596)","(0, 7, '0.01', '9.777777777777779', 0.8560000061988831)","(0, 8, '0.01', '10.88888888888889', 0.8410000205039978)","(0, 9, '0.01', '12.0', 0.8569999933242798)"
3.111111111111111,"(1, 0, '0.020000000000000004', '2.0', 0.949999988079071)","(1, 1, '0.020000000000000004', '3.111111111111111', 0.9570000171661377)","(1, 2, '0.020000000000000004', '4.222222222222222', 0.9459999799728394)","(1, 3, '0.020000000000000004', '5.333333333333334', 0.9459999799728394)","(1, 4, '0.020000000000000004', '6.444444444444445', 0.9570000171661377)","(1, 5, '0.020000000000000004', '7.555555555555555', 0.9409999847412109)","(1, 6, '0.020000000000000004', '8.666666666666668', 0.949999988079071)","(1, 7, '0.020000000000000004', '9.777777777777779', 0.9419999718666077)","(1, 8, '0.020000000000000004', '10.88888888888889', 0.9169999957084656)","(1, 9, '0.020000000000000004', '12.0', 0.9340000152587891)"
4.222222222222222,"(2, 0, '0.030000000000000006', '2.0', 0.9700000286102295)","(2, 1, '0.030000000000000006', '3.111111111111111', 0.972000002861023)","(2, 2, '0.030000000000000006', '4.222222222222222', 0.9829999804496765)","(2, 3, '0.030000000000000006', '5.333333333333334', 0.9610000252723694)","(2, 4, '0.030000000000000006', '6.444444444444445', 0.9660000205039978)","(2, 5, '0.030000000000000006', '7.555555555555555', 0.9620000123977661)","(2, 6, '0.030000000000000006', '8.666666666666668', 0.9710000157356262)","(2, 7, '0.030000000000000006', '9.777777777777779', 0.9549999833106995)","(2, 8, '0.030000000000000006', '10.88888888888889', 0.9449999928474426)","(2, 9, '0.030000000000000006', '12.0', 0.9409999847412109)"
5.333333333333334,"(3, 0, '0.04000000000000001', '2.0', 0.9900000095367432)","(3, 1, '0.04000000000000001', '3.111111111111111', 0.9819999933242798)","(3, 2, '0.04000000000000001', '4.222222222222222', 0.984000027179718)","(3, 3, '0.04000000000000001', '5.333333333333334', 0.984000027179718)","(3, 4, '0.04000000000000001', '6.444444444444445', 0.9789999723434448)","(3, 5, '0.04000000000000001', '7.555555555555555', 0.9750000238418579)","(3, 6, '0.04000000000000001', '8.666666666666668', 0.9810000061988831)","(3, 7, '0.04000000000000001', '9.777777777777779', 0.9729999899864197)","(3, 8, '0.04000000000000001', '10.88888888888889', 0.9739999771118164)","(3, 9, '0.04000000000000001', '12.0', 0.9800000190734863)"
6.444444444444445,"(4, 0, '0.05000000000000001', '2.0', 0.9860000014305115)","(4, 1, '0.05000000000000001', '3.111111111111111', 0.9940000176429749)","(4, 2, '0.05000000000000001', '4.222222222222222', 0.9900000095367432)","(4, 3, '0.05000000000000001', '5.333333333333334', 0.9909999966621399)","(4, 4, '0.05000000000000001', '6.444444444444445', 0.9810000061988831)","(4, 5, '0.05000000000000001', '7.555555555555555', 0.9789999723434448)","(4, 6, '0.05000000000000001', '8.666666666666668', 0.9869999885559082)","(4, 7, '0.05000000000000001', '9.777777777777779', 0.9810000061988831)","(4, 8, '0.05000000000000001', '10.88888888888889', 0.9800000190734863)","(4, 9, '0.05000000000000001', '12.0', 0.9890000224113464)"
7.555555555555555,"(5, 0, '0.06000000000000001', '2.0', 0.9819999933242798)","(5, 1, '0.06000000000000001', '3.111111111111111', 0.9919999837875366)","(5, 2, '0.06000000000000001', '4.222222222222222', 0.9950000047683716)","(5, 3, '0.06000000000000001', '5.333333333333334', 0.9919999837875366)","(5, 4, '0.06000000000000001', '6.444444444444445', 0.9879999756813049)","(5, 5, '0.06000000000000001', '7.555555555555555', 0.9919999837875366)","(5, 6, '0.06000000000000001', '8.666666666666668', 0.9959999918937683)","(5, 7, '0.06000000000000001', '9.777777777777779', 0.9929999709129333)","(5, 8, '0.06000000000000001', '10.88888888888889', 0.9649999737739563)","(5, 9, '0.06000000000000001', '12.0', 0.9940000176429749)"
8.666666666666668,"(6, 0, '0.07', '2.0', 0.9990000128746033)","(6, 1, '0.07', '3.111111111111111', 0.9990000128746033)","(6, 2, '0.07', '4.222222222222222', 0.9919999837875366)","(6, 3, '0.07', '5.333333333333334', 0.996999979019165)","(6, 4, '0.07', '6.444444444444445', 0.9980000257492065)","(6, 5, '0.07', '7.555555555555555', 0.9980000257492065)","(6, 6, '0.07', '8.666666666666668', 0.9919999837875366)","(6, 7, '0.07', '9.777777777777779', 0.9919999837875366)","(6, 8, '0.07', '10.88888888888889', 0.9929999709129333)","(6, 9, '0.07', '12.0', 0.9929999709129333)"
9.777777777777779,"(7, 0, '0.08', '2.0', 0.9980000257492065)","(7, 1, '0.08', '3.111111111111111', 0.9980000257492065)","(7, 2, '0.08', '4.222222222222222', 0.9940000176429749)","(7, 3, '0.08', '5.333333333333334', 0.9959999918937683)","(7, 4, '0.08', '6.444444444444445', 0.9980000257492065)","(7, 5, '0.08', '7.555555555555555', 0.9980000257492065)","(7, 6, '0.08', '8.666666666666668', 0.9959999918937683)","(7, 7, '0.08', '9.777777777777779', 0.9909999966621399)","(7, 8, '0.08', '10.88888888888889', 0.9959999918937683)","(7, 9, '0.08', '12.0', 0.996999979019165)"
10.88888888888889,"(8, 0, '0.09000000000000001', '2.0', 0.9990000128746033)","(8, 1, '0.09000000000000001', '3.111111111111111', 0.9990000128746033)","(8, 2, '0.09000000000000001', '4.222222222222222', 0.996999979019165)","(8, 3, '0.09000000000000001', '5.333333333333334', 0.9980000257492065)","(8, 4, '0.09000000000000001', '6.444444444444445', 1.0)","(8, 5, '0.09000000000000001', '7.555555555555555', 0.9950000047683716)","(8, 6, '0.09000000000000001', '8.666666666666668', 0.9980000257492065)","(8, 7, '0.09000000000000001', '9.777777777777779', 0.9959999918937683)","(8, 8, '0.09000000000000001', '10.88888888888889', 0.9980000257492065)","(8, 9, '0.09000000000000001', '12.0', 1.0)"
12.0,"(9, 0, '0.1', '2.0', 0.9990000128746033)","(9, 1, '0.1', '3.111111111111111', 1.0)","(9, 2, '0.1', '4.222222222222222', 0.9990000128746033)","(9, 3, '0.1', '5.333333333333334', 1.0)","(9, 4, '0.1', '6.444444444444445', 1.0)","(9, 5, '0.1', '7.555555555555555', 0.9980000257492065)","(9, 6, '0.1', '8.666666666666668', 1.0)","(9, 7, '0.1', '9.777777777777779', 0.996999979019165)","(9, 8, '0.1', '10.88888888888889', 0.9990000128746033)","(9, 9, '0.1', '12.0', 0.9980000257492065)"
