,2.0,3.111111111111111,4.222222222222222,5.333333333333334,6.444444444444445,7.555555555555555,8.666666666666668,9.777777777777779,10.88888888888889,12.0
2.0,"(0, 0, '2.0', '2.0', 0.9940000176429749)","(0, 1, '2.0', '3.111111111111111', 0.6819999814033508)","(0, 2, '2.0', '4.222222222222222', 0.9580000042915344)","(0, 3, '2.0', '5.333333333333334', 1.0)","(0, 4, '2.0', '6.444444444444445', 1.0)","(0, 5, '2.0', '7.555555555555555', 1.0)","(0, 6, '2.0', '8.666666666666668', 1.0)","(0, 7, '2.0', '9.777777777777779', 1.0)","(0, 8, '2.0', '10.88888888888889', 1.0)","(0, 9, '2.0', '12.0', 1.0)"
3.111111111111111,"(1, 0, '3.111111111111111', '2.0', 1.0)","(1, 1, '3.111111111111111', '3.111111111111111', 0.9929999709129333)","(1, 2, '3.111111111111111', '4.222222222222222', 0.734000027179718)","(1, 3, '3.111111111111111', '5.333333333333334', 0.8939999938011169)","(1, 4, '3.111111111111111', '6.444444444444445', 0.9879999756813049)","(1, 5, '3.111111111111111', '7.555555555555555', 1.0)","(1, 6, '3.111111111111111', '8.666666666666668', 1.0)","(1, 7, '3.111111111111111', '9.777777777777779', 1.0)","(1, 8, '3.111111111111111', '10.88888888888889', 1.0)","(1, 9, '3.111111111111111', '12.0', 1.0)"
4.222222222222222,"(2, 0, '4.222222222222222', '2.0', 1.0)","(2, 1, '4.222222222222222', '3.111111111111111', 0.9990000128746033)","(2, 2, '4.222222222222222', '4.222222222222222', 0.996999979019165)","(2, 3, '4.222222222222222', '5.333333333333334', 0.847000002861023)","(2, 4, '4.222222222222222', '6.444444444444445', 0.5339999794960022)","(2, 5, '4.222222222222222', '7.555555555555555', 0.9169999957084656)","(2, 6, '4.222222222222222', '8.666666666666668', 0.9779999852180481)","(2, 7, '4.222222222222222', '9.777777777777779', 0.9940000176429749)","(2, 8, '4.222222222222222', '10.88888888888889', 1.0)","(2, 9, '4.222222222222222', '12.0', 0.9990000128746033)"
5.333333333333334,"(3, 0, '5.333333333333334', '2.0', 1.0)","(3, 1, '5.333333333333334', '3.111111111111111', 1.0)","(3, 2, '5.333333333333334', '4.222222222222222', 1.0)","(3, 3, '5.333333333333334', '5.333333333333334', 0.9940000176429749)","(3, 4, '5.333333333333334', '6.444444444444445', 0.8980000019073486)","(3, 5, '5.333333333333334', '7.555555555555555', 0.5989999771118164)","(3, 6, '5.333333333333334', '8.666666666666668', 0.7620000243186951)","(3, 7, '5.333333333333334', '9.777777777777779', 0.9150000214576721)","(3, 8, '5.333333333333334', '10.88888888888889', 0.9829999804496765)","(3, 9, '5.333333333333334', '12.0', 0.996999979019165)"
6.444444444444445,"(4, 0, '6.444444444444445', '2.0', 1.0)","(4, 1, '6.444444444444445', '3.111111111111111', 1.0)","(4, 2, '6.444444444444445', '4.222222222222222', 1.0)","(4, 3, '6.444444444444445', '5.333333333333334', 1.0)","(4, 4, '6.444444444444445', '6.444444444444445', 0.9950000047683716)","(4, 5, '6.444444444444445', '7.555555555555555', 0.9580000042915344)","(4, 6, '6.444444444444445', '8.666666666666668', 0.7289999723434448)","(4, 7, '6.444444444444445', '9.777777777777779', 0.5490000247955322)","(4, 8, '6.444444444444445', '10.88888888888889', 0.8349999785423279)","(4, 9, '6.444444444444445', '12.0', 0.9440000057220459)"
7.555555555555555,"(5, 0, '7.555555555555555', '2.0', 1.0)","(5, 1, '7.555555555555555', '3.111111111111111', 1.0)","(5, 2, '7.555555555555555', '4.222222222222222', 1.0)","(5, 3, '7.555555555555555', '5.333333333333334', 1.0)","(5, 4, '7.555555555555555', '6.444444444444445', 0.9980000257492065)","(5, 5, '7.555555555555555', '7.555555555555555', 0.9829999804496765)","(5, 6, '7.555555555555555', '8.666666666666668', 0.9660000205039978)","(5, 7, '7.555555555555555', '9.777777777777779', 0.7900000214576721)","(5, 8, '7.555555555555555', '10.88888888888889', 0.5450000166893005)","(5, 9, '7.555555555555555', '12.0', 0.7120000123977661)"
8.666666666666668,"(6, 0, '8.666666666666668', '2.0', 0.9729999899864197)","(6, 1, '8.666666666666668', '3.111111111111111', 1.0)","(6, 2, '8.666666666666668', '4.222222222222222', 1.0)","(6, 3, '8.666666666666668', '5.333333333333334', 1.0)","(6, 4, '8.666666666666668', '6.444444444444445', 1.0)","(6, 5, '8.666666666666668', '7.555555555555555', 0.9990000128746033)","(6, 6, '8.666666666666668', '8.666666666666668', 0.9879999756813049)","(6, 7, '8.666666666666668', '9.777777777777779', 0.9440000057220459)","(6, 8, '8.666666666666668', '10.88888888888889', 0.8429999947547913)","(6, 9, '8.666666666666668', '12.0', 0.6269999742507935)"
9.777777777777779,"(7, 0, '9.777777777777779', '2.0', 1.0)","(7, 1, '9.777777777777779', '3.111111111111111', 1.0)","(7, 2, '9.777777777777779', '4.222222222222222', 1.0)","(7, 3, '9.777777777777779', '5.333333333333334', 1.0)","(7, 4, '9.777777777777779', '6.444444444444445', 1.0)","(7, 5, '9.777777777777779', '7.555555555555555', 1.0)","(7, 6, '9.777777777777779', '8.666666666666668', 0.9990000128746033)","(7, 7, '9.777777777777779', '9.777777777777779', 0.9959999918937683)","(7, 8, '9.777777777777779', '10.88888888888889', 0.9729999899864197)","(7, 9, '9.777777777777779', '12.0', 0.902999997138977)"
10.88888888888889,"(8, 0, '10.88888888888889', '2.0', 1.0)","(8, 1, '10.88888888888889', '3.111111111111111', 1.0)","(8, 2, '10.88888888888889', '4.222222222222222', 1.0)","(8, 3, '10.88888888888889', '5.333333333333334', 1.0)","(8, 4, '10.88888888888889', '6.444444444444445', 1.0)","(8, 5, '10.88888888888889', '7.555555555555555', 1.0)","(8, 6, '10.88888888888889', '8.666666666666668', 0.9929999709129333)","(8, 7, '10.88888888888889', '9.777777777777779', 0.9990000128746033)","(8, 8, '10.88888888888889', '10.88888888888889', 0.9810000061988831)","(8, 9, '10.88888888888889', '12.0', 0.9629999995231628)"
12.0,"(9, 0, '12.0', '2.0', 1.0)","(9, 1, '12.0', '3.111111111111111', 1.0)","(9, 2, '12.0', '4.222222222222222', 1.0)","(9, 3, '12.0', '5.333333333333334', 1.0)","(9, 4, '12.0', '6.444444444444445', 1.0)","(9, 5, '12.0', '7.555555555555555', 1.0)","(9, 6, '12.0', '8.666666666666668', 1.0)","(9, 7, '12.0', '9.777777777777779', 0.9990000128746033)","(9, 8, '12.0', '10.88888888888889', 0.996999979019165)","(9, 9, '12.0', '12.0', 0.984000027179718)"
