,10,20,30,40,50,60,70,80,90,100,150,250,400,600,800,1000,1500,2000
1,"(0, 0, 1, 10, 0.5)","(0, 1, 1, 20, 0.5)","(0, 2, 1, 30, 0.5)","(0, 3, 1, 40, 0.5)","(0, 4, 1, 50, 0.5)","(0, 5, 1, 60, 0.5)","(0, 6, 1, 70, 0.5)","(0, 7, 1, 80, 0.5)","(0, 8, 1, 90, 0.5)","(0, 9, 1, 100, 0.5)","(0, 10, 1, 150, 0.5720000267028809)","(0, 11, 1, 250, 0.5419999957084656)","(0, 12, 1, 400, 0.5889999866485596)","(0, 13, 1, 600, 0.6470000147819519)","(0, 14, 1, 800, 0.7239999771118164)","(0, 15, 1, 1000, 0.7289999723434448)","(0, 16, 1, 1500, 0.824999988079071)","(0, 17, 1, 2000, 0.8460000157356262)"
5,"(1, 0, 5, 10, 0.5)","(1, 1, 5, 20, 0.5)","(1, 2, 5, 30, 0.5)","(1, 3, 5, 40, 0.5)","(1, 4, 5, 50, 0.5220000147819519)","(1, 5, 5, 60, 0.5600000023841858)","(1, 6, 5, 70, 0.5590000152587891)","(1, 7, 5, 80, 0.5860000252723694)","(1, 8, 5, 90, 0.5669999718666077)","(1, 9, 5, 100, 0.5820000171661377)","(1, 10, 5, 150, 0.6850000023841858)","(1, 11, 5, 250, 0.7450000047683716)","(1, 12, 5, 400, 0.7950000166893005)","(1, 13, 5, 600, 0.8830000162124634)","(1, 14, 5, 800, 0.8870000243186951)","(1, 15, 5, 1000, 0.9509999752044678)","(1, 16, 5, 1500, 0.9599999785423279)","(1, 17, 5, 2000, 0.9610000252723694)"
10,"(2, 0, 10, 10, 0.5)","(2, 1, 10, 20, 0.5)","(2, 2, 10, 30, 0.5)","(2, 3, 10, 40, 0.5540000200271606)","(2, 4, 10, 50, 0.574999988079071)","(2, 5, 10, 60, 0.609000027179718)","(2, 6, 10, 70, 0.6290000081062317)","(2, 7, 10, 80, 0.6449999809265137)","(2, 8, 10, 90, 0.6629999876022339)","(2, 9, 10, 100, 0.6729999780654907)","(2, 10, 10, 150, 0.746999979019165)","(2, 11, 10, 250, 0.8410000205039978)","(2, 12, 10, 400, 0.8700000047683716)","(2, 13, 10, 600, 0.9110000133514404)","(2, 14, 10, 800, 0.9039999842643738)","(2, 15, 10, 1000, 0.9559999704360962)","(2, 16, 10, 1500, 0.9449999928474426)","(2, 17, 10, 2000, 0.9610000252723694)"
20,"(3, 0, 20, 10, 0.5)","(3, 1, 20, 20, 0.5)","(3, 2, 20, 30, 0.5740000009536743)","(3, 3, 20, 40, 0.6110000014305115)","(3, 4, 20, 50, 0.6259999871253967)","(3, 5, 20, 60, 0.652999997138977)","(3, 6, 20, 70, 0.6869999766349792)","(3, 7, 20, 80, 0.7269999980926514)","(3, 8, 20, 90, 0.6959999799728394)","(3, 9, 20, 100, 0.7080000042915344)","(3, 10, 20, 150, 0.7850000262260437)","(3, 11, 20, 250, 0.8240000009536743)","(3, 12, 20, 400, 0.8930000066757202)","(3, 13, 20, 600, 0.9300000071525574)","(3, 14, 20, 800, 0.9409999847412109)","(3, 15, 20, 1000, 0.9399999976158142)","(3, 16, 20, 1500, 0.0)","(3, 17, 20, 2000, 0.0)"
30,"(4, 0, 30, 10, 0.5)","(4, 1, 30, 20, 0.5559999942779541)","(4, 2, 30, 30, 0.628000020980835)","(4, 3, 30, 40, 0.6349999904632568)","(4, 4, 30, 50, 0.675000011920929)","(4, 5, 30, 60, 0.6650000214576721)","(4, 6, 30, 70, 0.6710000038146973)","(4, 7, 30, 80, 0.7200000286102295)","(4, 8, 30, 90, 0.7680000066757202)","(4, 9, 30, 100, 0.7369999885559082)","(4, 10, 30, 150, 0.7789999842643738)","(4, 11, 30, 250, 0.8579999804496765)","(4, 12, 30, 400, 0.8930000066757202)","(4, 13, 30, 600, 0.9319999814033508)","(4, 14, 30, 800, 0.9449999928474426)","(4, 15, 30, 1000, 0.0)","(4, 16, 30, 1500, 0.0)","(4, 17, 30, 2000, 0.0)"
45,"(5, 0, 45, 10, 0.5)","(5, 1, 45, 20, 0.5759999752044678)","(5, 2, 45, 30, 0.6179999709129333)","(5, 3, 45, 40, 0.6439999938011169)","(5, 4, 45, 50, 0.6629999876022339)","(5, 5, 45, 60, 0.7099999785423279)","(5, 6, 45, 70, 0.6919999718666077)","(5, 7, 45, 80, 0.7459999918937683)","(5, 8, 45, 90, 0.7540000081062317)","(5, 9, 45, 100, 0.7480000257492065)","(5, 10, 45, 150, 0.7940000295639038)","(5, 11, 45, 250, 0.8619999885559082)","(5, 12, 45, 400, 0.8849999904632568)","(5, 13, 45, 600, 0.0)","(5, 14, 45, 800, 0.0)","(5, 15, 45, 1000, 0.0)","(5, 16, 45, 1500, 0.0)","(5, 17, 45, 2000, 0.0)"
60,"(6, 0, 60, 10, 0.5)","(6, 1, 60, 20, 0.593999981880188)","(6, 2, 60, 30, 0.6060000061988831)","(6, 3, 60, 40, 0.6489999890327454)","(6, 4, 60, 50, 0.6660000085830688)","(6, 5, 60, 60, 0.6919999718666077)","(6, 6, 60, 70, 0.6909999847412109)","(6, 7, 60, 80, 0.6980000138282776)","(6, 8, 60, 90, 0.753000020980835)","(6, 9, 60, 100, 0.7419999837875366)","(6, 10, 60, 150, 0.800000011920929)","(6, 11, 60, 250, 0.8379999995231628)","(6, 12, 60, 400, 0.9039999842643738)","(6, 13, 60, 600, 0.0)","(6, 14, 60, 800, 0.0)","(6, 15, 60, 1000, 0.0)","(6, 16, 60, 1500, 0.0)","(6, 17, 60, 2000, 0.0)"
120,"(7, 0, 120, 10, 0.5)","(7, 1, 120, 20, 0.5690000057220459)","(7, 2, 120, 30, 0.621999979019165)","(7, 3, 120, 40, 0.6359999775886536)","(7, 4, 120, 50, 0.640999972820282)","(7, 5, 120, 60, 0.6570000052452087)","(7, 6, 120, 70, 0.6880000233650208)","(7, 7, 120, 80, 0.6880000233650208)","(7, 8, 120, 90, 0.7160000205039978)","(7, 9, 120, 100, 0.7239999771118164)","(7, 10, 120, 150, 0.7720000147819519)","(7, 11, 120, 250, 0.0)","(7, 12, 120, 400, 0.0)","(7, 13, 120, 600, 0.0)","(7, 14, 120, 800, 0.0)","(7, 15, 120, 1000, 0.0)","(7, 16, 120, 1500, 0.0)","(7, 17, 120, 2000, 0.0)"
180,"(8, 0, 180, 10, 0.5)","(8, 1, 180, 20, 0.5820000171661377)","(8, 2, 180, 30, 0.6039999723434448)","(8, 3, 180, 40, 0.5820000171661377)","(8, 4, 180, 50, 0.6140000224113464)","(8, 5, 180, 60, 0.6370000243186951)","(8, 6, 180, 70, 0.6430000066757202)","(8, 7, 180, 80, 0.6420000195503235)","(8, 8, 180, 90, 0.6620000004768372)","(8, 9, 180, 100, 0.6800000071525574)","(8, 10, 180, 150, 0.0)","(8, 11, 180, 250, 0.0)","(8, 12, 180, 400, 0.0)","(8, 13, 180, 600, 0.0)","(8, 14, 180, 800, 0.0)","(8, 15, 180, 1000, 0.0)","(8, 16, 180, 1500, 0.0)","(8, 17, 180, 2000, 0.0)"
240,"(9, 0, 240, 10, 0.5)","(9, 1, 240, 20, 0.6060000061988831)","(9, 2, 240, 30, 0.6299999952316284)","(9, 3, 240, 40, 0.6579999923706055)","(9, 4, 240, 50, 0.6290000081062317)","(9, 5, 240, 60, 0.6650000214576721)","(9, 6, 240, 70, 0.6510000228881836)","(9, 7, 240, 80, 0.5)","(9, 8, 240, 90, 0.6940000057220459)","(9, 9, 240, 100, 0.7059999704360962)","(9, 10, 240, 150, 0.0)","(9, 11, 240, 250, 0.0)","(9, 12, 240, 400, 0.0)","(9, 13, 240, 600, 0.0)","(9, 14, 240, 800, 0.0)","(9, 15, 240, 1000, 0.0)","(9, 16, 240, 1500, 0.0)","(9, 17, 240, 2000, 0.0)"
