,2.0,3.111111111111111,4.222222222222222,5.333333333333334,6.444444444444445,7.555555555555555,8.666666666666668,9.777777777777779,10.88888888888889,12.0
2.0,"(0, 0, '2.0', '2.0', 0.9869999885559082)","(0, 1, '2.0', '3.111111111111111', 0.5580000281333923)","(0, 2, '2.0', '4.222222222222222', 0.9570000171661377)","(0, 3, '2.0', '5.333333333333334', 0.9980000257492065)","(0, 4, '2.0', '6.444444444444445', 0.9990000128746033)","(0, 5, '2.0', '7.555555555555555', 1.0)","(0, 6, '2.0', '8.666666666666668', 1.0)","(0, 7, '2.0', '9.777777777777779', 1.0)","(0, 8, '2.0', '10.88888888888889', 0.9990000128746033)","(0, 9, '2.0', '12.0', 1.0)"
3.111111111111111,"(1, 0, '3.111111111111111', '2.0', 1.0)","(1, 1, '3.111111111111111', '3.111111111111111', 0.9710000157356262)","(1, 2, '3.111111111111111', '4.222222222222222', 0.6579999923706055)","(1, 3, '3.111111111111111', '5.333333333333334', 0.7620000243186951)","(1, 4, '3.111111111111111', '6.444444444444445', 0.9470000267028809)","(1, 5, '3.111111111111111', '7.555555555555555', 0.9819999933242798)","(1, 6, '3.111111111111111', '8.666666666666668', 0.9980000257492065)","(1, 7, '3.111111111111111', '9.777777777777779', 1.0)","(1, 8, '3.111111111111111', '10.88888888888889', 0.9990000128746033)","(1, 9, '3.111111111111111', '12.0', 1.0)"
4.222222222222222,"(2, 0, '4.222222222222222', '2.0', 1.0)","(2, 1, '4.222222222222222', '3.111111111111111', 1.0)","(2, 2, '4.222222222222222', '4.222222222222222', 0.9589999914169312)","(2, 3, '4.222222222222222', '5.333333333333334', 0.7549999952316284)","(2, 4, '4.222222222222222', '6.444444444444445', 0.5)","(2, 5, '4.222222222222222', '7.555555555555555', 0.8080000281333923)","(2, 6, '4.222222222222222', '8.666666666666668', 0.9319999814033508)","(2, 7, '4.222222222222222', '9.777777777777779', 0.9750000238418579)","(2, 8, '4.222222222222222', '10.88888888888889', 0.9890000224113464)","(2, 9, '4.222222222222222', '12.0', 0.9909999966621399)"
5.333333333333334,"(3, 0, '5.333333333333334', '2.0', 1.0)","(3, 1, '5.333333333333334', '3.111111111111111', 1.0)","(3, 2, '5.333333333333334', '4.222222222222222', 0.9980000257492065)","(3, 3, '5.333333333333334', '5.333333333333334', 0.953000009059906)","(3, 4, '5.333333333333334', '6.444444444444445', 0.8190000057220459)","(3, 5, '5.333333333333334', '7.555555555555555', 0.5640000104904175)","(3, 6, '5.333333333333334', '8.666666666666668', 0.6600000262260437)","(3, 7, '5.333333333333334', '9.777777777777779', 0.843999981880188)","(3, 8, '5.333333333333334', '10.88888888888889', 0.9259999990463257)","(3, 9, '5.333333333333334', '12.0', 0.9580000042915344)"
6.444444444444445,"(4, 0, '6.444444444444445', '2.0', 1.0)","(4, 1, '6.444444444444445', '3.111111111111111', 1.0)","(4, 2, '6.444444444444445', '4.222222222222222', 1.0)","(4, 3, '6.444444444444445', '5.333333333333334', 0.9919999837875366)","(4, 4, '6.444444444444445', '6.444444444444445', 0.9549999833106995)","(4, 5, '6.444444444444445', '7.555555555555555', 0.8420000076293945)","(4, 6, '6.444444444444445', '8.666666666666668', 0.6570000052452087)","(4, 7, '6.444444444444445', '9.777777777777779', 0.5)","(4, 8, '6.444444444444445', '10.88888888888889', 0.7549999952316284)","(4, 9, '6.444444444444445', '12.0', 0.859000027179718)"
7.555555555555555,"(5, 0, '7.555555555555555', '2.0', 1.0)","(5, 1, '7.555555555555555', '3.111111111111111', 1.0)","(5, 2, '7.555555555555555', '4.222222222222222', 1.0)","(5, 3, '7.555555555555555', '5.333333333333334', 1.0)","(5, 4, '7.555555555555555', '6.444444444444445', 0.9890000224113464)","(5, 5, '7.555555555555555', '7.555555555555555', 0.9580000042915344)","(5, 6, '7.555555555555555', '8.666666666666668', 0.8510000109672546)","(5, 7, '7.555555555555555', '9.777777777777779', 0.7279999852180481)","(5, 8, '7.555555555555555', '10.88888888888889', 0.5)","(5, 9, '7.555555555555555', '12.0', 0.628000020980835)"
8.666666666666668,"(6, 0, '8.666666666666668', '2.0', 1.0)","(6, 1, '8.666666666666668', '3.111111111111111', 1.0)","(6, 2, '8.666666666666668', '4.222222222222222', 1.0)","(6, 3, '8.666666666666668', '5.333333333333334', 1.0)","(6, 4, '8.666666666666668', '6.444444444444445', 0.996999979019165)","(6, 5, '8.666666666666668', '7.555555555555555', 0.9760000109672546)","(6, 6, '8.666666666666668', '8.666666666666668', 0.9570000171661377)","(6, 7, '8.666666666666668', '9.777777777777779', 0.8980000019073486)","(6, 8, '8.666666666666668', '10.88888888888889', 0.7450000047683716)","(6, 9, '8.666666666666668', '12.0', 0.609000027179718)"
9.777777777777779,"(7, 0, '9.777777777777779', '2.0', 1.0)","(7, 1, '9.777777777777779', '3.111111111111111', 1.0)","(7, 2, '9.777777777777779', '4.222222222222222', 1.0)","(7, 3, '9.777777777777779', '5.333333333333334', 1.0)","(7, 4, '9.777777777777779', '6.444444444444445', 1.0)","(7, 5, '9.777777777777779', '7.555555555555555', 0.9950000047683716)","(7, 6, '9.777777777777779', '8.666666666666668', 0.9850000143051147)","(7, 7, '9.777777777777779', '9.777777777777779', 0.9440000057220459)","(7, 8, '9.777777777777779', '10.88888888888889', 0.8610000014305115)","(7, 9, '9.777777777777779', '12.0', 0.7789999842643738)"
10.88888888888889,"(8, 0, '10.88888888888889', '2.0', 1.0)","(8, 1, '10.88888888888889', '3.111111111111111', 1.0)","(8, 2, '10.88888888888889', '4.222222222222222', 1.0)","(8, 3, '10.88888888888889', '5.333333333333334', 1.0)","(8, 4, '10.88888888888889', '6.444444444444445', 1.0)","(8, 5, '10.88888888888889', '7.555555555555555', 0.9950000047683716)","(8, 6, '10.88888888888889', '8.666666666666668', 0.9900000095367432)","(8, 7, '10.88888888888889', '9.777777777777779', 0.9769999980926514)","(8, 8, '10.88888888888889', '10.88888888888889', 0.9309999942779541)","(8, 9, '10.88888888888889', '12.0', 0.8889999985694885)"
12.0,"(9, 0, '12.0', '2.0', 1.0)","(9, 1, '12.0', '3.111111111111111', 1.0)","(9, 2, '12.0', '4.222222222222222', 1.0)","(9, 3, '12.0', '5.333333333333334', 1.0)","(9, 4, '12.0', '6.444444444444445', 1.0)","(9, 5, '12.0', '7.555555555555555', 1.0)","(9, 6, '12.0', '8.666666666666668', 0.9980000257492065)","(9, 7, '12.0', '9.777777777777779', 0.996999979019165)","(9, 8, '12.0', '10.88888888888889', 0.972000002861023)","(9, 9, '12.0', '12.0', 0.9340000152587891)"
