,150,200,250,500,750,1000,1500,2000,2500,3000
1,"(0, 0, 1, 10, 0.7979999780654907)","(0, 1, 1, 20, 0.7990000247955322)","(0, 2, 1, 30, 0.7990000247955322)","(0, 3, 1, 40, 0.8289999961853027)","(0, 4, 1, 50, 0.8069999814033508)","(0, 5, 1, 60, 0.8130000233650208)","(0, 6, 1, 70, 0.828000009059906)","(0, 7, 1, 80, 0.796999990940094)","(0, 8, 1, 90, 0.8050000071525574)","(0, 9, 1, 100, 0.8069999814033508)"
2,"(1, 0, 2, 10, 0.7929999828338623)","(1, 1, 2, 20, 0.7979999780654907)","(1, 2, 2, 30, 0.800000011920929)","(1, 3, 2, 40, 0.7799999713897705)","(1, 4, 2, 50, 0.8109999895095825)","(1, 5, 2, 60, 0.8040000200271606)","(1, 6, 2, 70, 0.8460000157356262)","(1, 7, 2, 80, 0.8159999847412109)","(1, 8, 2, 90, 0.8339999914169312)","(1, 9, 2, 100, 0.8320000171661377)"
5,"(2, 0, 5, 10, 0.7900000214576721)","(2, 1, 5, 20, 0.8019999861717224)","(2, 2, 5, 30, 0.8149999976158142)","(2, 3, 5, 40, 0.8309999704360962)","(2, 4, 5, 50, 0.8149999976158142)","(2, 5, 5, 60, 0.8450000286102295)","(2, 6, 5, 70, 0.8510000109672546)","(2, 7, 5, 80, 0.890999972820282)","(2, 8, 5, 90, 0.8849999904632568)","(2, 9, 5, 100, 0.9100000262260437)"
7,"(3, 0, 7, 10, 0.8029999732971191)","(3, 1, 7, 20, 0.7990000247955322)","(3, 2, 7, 30, 0.8320000171661377)","(3, 3, 7, 40, 0.8410000205039978)","(3, 4, 7, 50, 0.8560000061988831)","(3, 5, 7, 60, 0.8690000176429749)","(3, 6, 7, 70, 0.8809999823570251)","(3, 7, 7, 80, 0.8920000195503235)","(3, 8, 7, 90, 0.9070000052452087)","(3, 9, 7, 100, 0.9290000200271606)"
10,"(4, 0, 10, 10, 0.8040000200271606)","(4, 1, 10, 20, 0.8299999833106995)","(4, 2, 10, 30, 0.8500000238418579)","(4, 3, 10, 40, 0.8410000205039978)","(4, 4, 10, 50, 0.8809999823570251)","(4, 5, 10, 60, 0.9039999842643738)","(4, 6, 10, 70, 0.9089999794960022)","(4, 7, 10, 80, 0.9240000247955322)","(4, 8, 10, 90, 0.9369999766349792)","(4, 9, 10, 100, 0.9369999766349792)"
12,"(5, 0, 12, 10, 0.7829999923706055)","(5, 1, 12, 20, 0.8360000252723694)","(5, 2, 12, 30, 0.8610000014305115)","(5, 3, 12, 40, 0.871999979019165)","(5, 4, 12, 50, 0.9160000085830688)","(5, 5, 12, 60, 0.9290000200271606)","(5, 6, 12, 70, 0.9380000233650208)","(5, 7, 12, 80, 0.9399999976158142)","(5, 8, 12, 90, 0.9480000138282776)","(5, 9, 12, 100, 0.9440000057220459)"
15,"(6, 0, 15, 10, 0.8090000152587891)","(6, 1, 15, 20, 0.8519999980926514)","(6, 2, 15, 30, 0.8759999871253967)","(6, 3, 15, 40, 0.8930000066757202)","(6, 4, 15, 50, 0.9089999794960022)","(6, 5, 15, 60, 0.9259999990463257)","(6, 6, 15, 70, 0.9470000267028809)","(6, 7, 15, 80, 0.9440000057220459)","(6, 8, 15, 90, 0.9599999785423279)","(6, 9, 15, 100, 0.9700000286102295)"
20,"(7, 0, 20, 10, 0.8259999752044678)","(7, 1, 20, 20, 0.8619999885559082)","(7, 2, 20, 30, 0.8930000066757202)","(7, 3, 20, 40, 0.9120000004768372)","(7, 4, 20, 50, 0.9319999814033508)","(7, 5, 20, 60, 0.9559999704360962)","(7, 6, 20, 70, 0.953000009059906)","(7, 7, 20, 80, 0.9729999899864197)","(7, 8, 20, 90, 0.9789999723434448)","(7, 9, 20, 100, 0.9710000157356262)"
25,"(8, 0, 25, 10, 0.8199999928474426)","(8, 1, 25, 20, 0.8569999933242798)","(8, 2, 25, 30, 0.906000018119812)","(8, 3, 25, 40, 0.9369999766349792)","(8, 4, 25, 50, 0.9480000138282776)","(8, 5, 25, 60, 0.9710000157356262)","(8, 6, 25, 70, 0.9779999852180481)","(8, 7, 25, 80, 0.972000002861023)","(8, 8, 25, 90, 0.9909999966621399)","(8, 9, 25, 100, 0.9850000143051147)"
30,"(9, 0, 30, 10, 0.828000009059906)","(9, 1, 30, 20, 0.8939999938011169)","(9, 2, 30, 30, 0.9169999957084656)","(9, 3, 30, 40, 0.9649999737739563)","(9, 4, 30, 50, 0.9670000076293945)","(9, 5, 30, 60, 0.9639999866485596)","(9, 6, 30, 70, 0.972000002861023)","(9, 7, 30, 80, 0.9800000190734863)","(9, 8, 30, 90, 0.9929999709129333)","(9, 9, 30, 100, 0.9850000143051147)"
