,0.01,0.020000000000000004,0.030000000000000006,0.04000000000000001,0.05000000000000001,0.06000000000000001,0.07,0.08,0.09000000000000001,0.1
2.0,"(0, 0, '0.01', '2.0', 0.7689999938011169)","(0, 1, '0.01', '3.111111111111111', 0.7720000147819519)","(0, 2, '0.01', '4.222222222222222', 0.7839999794960022)","(0, 3, '0.01', '5.333333333333334', 0.75)","(0, 4, '0.01', '6.444444444444445', 0.7369999885559082)","(0, 5, '0.01', '7.555555555555555', 0.7329999804496765)","(0, 6, '0.01', '8.666666666666668', 0.7390000224113464)","(0, 7, '0.01', '9.777777777777779', 0.7300000190734863)","(0, 8, '0.01', '10.88888888888889', 0.7089999914169312)","(0, 9, '0.01', '12.0', 0.7039999961853027)"
3.111111111111111,"(1, 0, '0.020000000000000004', '2.0', 0.8799999952316284)","(1, 1, '0.020000000000000004', '3.111111111111111', 0.8930000066757202)","(1, 2, '0.020000000000000004', '4.222222222222222', 0.875)","(1, 3, '0.020000000000000004', '5.333333333333334', 0.8579999804496765)","(1, 4, '0.020000000000000004', '6.444444444444445', 0.8500000238418579)","(1, 5, '0.020000000000000004', '7.555555555555555', 0.8330000042915344)","(1, 6, '0.020000000000000004', '8.666666666666668', 0.8500000238418579)","(1, 7, '0.020000000000000004', '9.777777777777779', 0.8399999737739563)","(1, 8, '0.020000000000000004', '10.88888888888889', 0.8349999785423279)","(1, 9, '0.020000000000000004', '12.0', 0.8050000071525574)"
4.222222222222222,"(2, 0, '0.030000000000000006', '2.0', 0.9039999842643738)","(2, 1, '0.030000000000000006', '3.111111111111111', 0.9160000085830688)","(2, 2, '0.030000000000000006', '4.222222222222222', 0.906000018119812)","(2, 3, '0.030000000000000006', '5.333333333333334', 0.9179999828338623)","(2, 4, '0.030000000000000006', '6.444444444444445', 0.8700000047683716)","(2, 5, '0.030000000000000006', '7.555555555555555', 0.9089999794960022)","(2, 6, '0.030000000000000006', '8.666666666666668', 0.8849999904632568)","(2, 7, '0.030000000000000006', '9.777777777777779', 0.890999972820282)","(2, 8, '0.030000000000000006', '10.88888888888889', 0.8870000243186951)","(2, 9, '0.030000000000000006', '12.0', 0.8880000114440918)"
5.333333333333334,"(3, 0, '0.04000000000000001', '2.0', 0.9430000185966492)","(3, 1, '0.04000000000000001', '3.111111111111111', 0.9409999847412109)","(3, 2, '0.04000000000000001', '4.222222222222222', 0.9509999752044678)","(3, 3, '0.04000000000000001', '5.333333333333334', 0.9440000057220459)","(3, 4, '0.04000000000000001', '6.444444444444445', 0.9269999861717224)","(3, 5, '0.04000000000000001', '7.555555555555555', 0.9300000071525574)","(3, 6, '0.04000000000000001', '8.666666666666668', 0.9419999718666077)","(3, 7, '0.04000000000000001', '9.777777777777779', 0.9169999957084656)","(3, 8, '0.04000000000000001', '10.88888888888889', 0.9190000295639038)","(3, 9, '0.04000000000000001', '12.0', 0.8960000276565552)"
6.444444444444445,"(4, 0, '0.05000000000000001', '2.0', 0.9610000252723694)","(4, 1, '0.05000000000000001', '3.111111111111111', 0.9549999833106995)","(4, 2, '0.05000000000000001', '4.222222222222222', 0.9679999947547913)","(4, 3, '0.05000000000000001', '5.333333333333334', 0.9430000185966492)","(4, 4, '0.05000000000000001', '6.444444444444445', 0.9520000219345093)","(4, 5, '0.05000000000000001', '7.555555555555555', 0.9300000071525574)","(4, 6, '0.05000000000000001', '8.666666666666668', 0.9610000252723694)","(4, 7, '0.05000000000000001', '9.777777777777779', 0.9229999780654907)","(4, 8, '0.05000000000000001', '10.88888888888889', 0.921999990940094)","(4, 9, '0.05000000000000001', '12.0', 0.9330000281333923)"
7.555555555555555,"(5, 0, '0.06000000000000001', '2.0', 0.9800000190734863)","(5, 1, '0.06000000000000001', '3.111111111111111', 0.972000002861023)","(5, 2, '0.06000000000000001', '4.222222222222222', 0.9639999866485596)","(5, 3, '0.06000000000000001', '5.333333333333334', 0.9629999995231628)","(5, 4, '0.06000000000000001', '6.444444444444445', 0.9729999899864197)","(5, 5, '0.06000000000000001', '7.555555555555555', 0.9430000185966492)","(5, 6, '0.06000000000000001', '8.666666666666668', 0.9539999961853027)","(5, 7, '0.06000000000000001', '9.777777777777779', 0.9589999914169312)","(5, 8, '0.06000000000000001', '10.88888888888889', 0.9620000123977661)","(5, 9, '0.06000000000000001', '12.0', 0.9359999895095825)"
8.666666666666668,"(6, 0, '0.07', '2.0', 0.9890000224113464)","(6, 1, '0.07', '3.111111111111111', 0.9750000238418579)","(6, 2, '0.07', '4.222222222222222', 0.9810000061988831)","(6, 3, '0.07', '5.333333333333334', 0.972000002861023)","(6, 4, '0.07', '6.444444444444445', 0.9779999852180481)","(6, 5, '0.07', '7.555555555555555', 0.9549999833106995)","(6, 6, '0.07', '8.666666666666668', 0.9639999866485596)","(6, 7, '0.07', '9.777777777777779', 0.9629999995231628)","(6, 8, '0.07', '10.88888888888889', 0.9470000267028809)","(6, 9, '0.07', '12.0', 0.9559999704360962)"
9.777777777777779,"(7, 0, '0.08', '2.0', 0.984000027179718)","(7, 1, '0.08', '3.111111111111111', 0.9800000190734863)","(7, 2, '0.08', '4.222222222222222', 0.9750000238418579)","(7, 3, '0.08', '5.333333333333334', 0.9800000190734863)","(7, 4, '0.08', '6.444444444444445', 0.9570000171661377)","(7, 5, '0.08', '7.555555555555555', 0.9710000157356262)","(7, 6, '0.08', '8.666666666666668', 0.9819999933242798)","(7, 7, '0.08', '9.777777777777779', 0.9850000143051147)","(7, 8, '0.08', '10.88888888888889', 0.9739999771118164)","(7, 9, '0.08', '12.0', 0.9589999914169312)"
10.88888888888889,"(8, 0, '0.09000000000000001', '2.0', 0.9879999756813049)","(8, 1, '0.09000000000000001', '3.111111111111111', 0.9959999918937683)","(8, 2, '0.09000000000000001', '4.222222222222222', 0.9819999933242798)","(8, 3, '0.09000000000000001', '5.333333333333334', 0.9810000061988831)","(8, 4, '0.09000000000000001', '6.444444444444445', 0.9649999737739563)","(8, 5, '0.09000000000000001', '7.555555555555555', 0.9800000190734863)","(8, 6, '0.09000000000000001', '8.666666666666668', 0.9679999947547913)","(8, 7, '0.09000000000000001', '9.777777777777779', 0.984000027179718)","(8, 8, '0.09000000000000001', '10.88888888888889', 0.9819999933242798)","(8, 9, '0.09000000000000001', '12.0', 0.9750000238418579)"
12.0,"(9, 0, '0.1', '2.0', 0.9950000047683716)","(9, 1, '0.1', '3.111111111111111', 0.9959999918937683)","(9, 2, '0.1', '4.222222222222222', 0.9829999804496765)","(9, 3, '0.1', '5.333333333333334', 0.9860000014305115)","(9, 4, '0.1', '6.444444444444445', 0.9879999756813049)","(9, 5, '0.1', '7.555555555555555', 0.9860000014305115)","(9, 6, '0.1', '8.666666666666668', 0.9850000143051147)","(9, 7, '0.1', '9.777777777777779', 0.9850000143051147)","(9, 8, '0.1', '10.88888888888889', 0.9800000190734863)","(9, 9, '0.1', '12.0', 0.9819999933242798)"
