,0.01,0.020000000000000004,0.030000000000000006,0.04000000000000001,0.05000000000000001,0.06000000000000001,0.07,0.08,0.09000000000000001,0.1
0.01,"(0, 0, '0.01', '0.01', 0.7720000147819519)","(0, 1, '0.01', '0.020000000000000004', 0.9789999723434448)","(0, 2, '0.01', '0.030000000000000006', 0.9990000128746033)","(0, 3, '0.01', '0.04000000000000001', 0.9990000128746033)","(0, 4, '0.01', '0.05000000000000001', 1.0)","(0, 5, '0.01', '0.06000000000000001', 1.0)","(0, 6, '0.01', '0.07', 1.0)","(0, 7, '0.01', '0.08', 1.0)","(0, 8, '0.01', '0.09000000000000001', 1.0)","(0, 9, '0.01', '0.1', 1.0)"
0.020000000000000004,"(1, 0, '0.020000000000000004', '0.01', 0.7910000085830688)","(1, 1, '0.020000000000000004', '0.020000000000000004', 0.8840000033378601)","(1, 2, '0.020000000000000004', '0.030000000000000006', 0.984000027179718)","(1, 3, '0.020000000000000004', '0.04000000000000001', 0.9990000128746033)","(1, 4, '0.020000000000000004', '0.05000000000000001', 1.0)","(1, 5, '0.020000000000000004', '0.06000000000000001', 1.0)","(1, 6, '0.020000000000000004', '0.07', 1.0)","(1, 7, '0.020000000000000004', '0.08', 1.0)","(1, 8, '0.020000000000000004', '0.09000000000000001', 1.0)","(1, 9, '0.020000000000000004', '0.1', 1.0)"
0.030000000000000006,"(2, 0, '0.030000000000000006', '0.01', 0.9419999718666077)","(2, 1, '0.030000000000000006', '0.020000000000000004', 0.734000027179718)","(2, 2, '0.030000000000000006', '0.030000000000000006', 0.9139999747276306)","(2, 3, '0.030000000000000006', '0.04000000000000001', 0.9810000061988831)","(2, 4, '0.030000000000000006', '0.05000000000000001', 0.9980000257492065)","(2, 5, '0.030000000000000006', '0.06000000000000001', 0.9990000128746033)","(2, 6, '0.030000000000000006', '0.07', 1.0)","(2, 7, '0.030000000000000006', '0.08', 1.0)","(2, 8, '0.030000000000000006', '0.09000000000000001', 1.0)","(2, 9, '0.030000000000000006', '0.1', 1.0)"
0.04000000000000001,"(3, 0, '0.04000000000000001', '0.01', 0.9919999837875366)","(3, 1, '0.04000000000000001', '0.020000000000000004', 0.8679999709129333)","(3, 2, '0.04000000000000001', '0.030000000000000006', 0.7319999933242798)","(3, 3, '0.04000000000000001', '0.04000000000000001', 0.9319999814033508)","(3, 4, '0.04000000000000001', '0.05000000000000001', 0.9919999837875366)","(3, 5, '0.04000000000000001', '0.06000000000000001', 0.9980000257492065)","(3, 6, '0.04000000000000001', '0.07', 1.0)","(3, 7, '0.04000000000000001', '0.08', 1.0)","(3, 8, '0.04000000000000001', '0.09000000000000001', 1.0)","(3, 9, '0.04000000000000001', '0.1', 1.0)"
0.05000000000000001,"(4, 0, '0.05000000000000001', '0.01', 1.0)","(4, 1, '0.05000000000000001', '0.020000000000000004', 0.9639999866485596)","(4, 2, '0.05000000000000001', '0.030000000000000006', 0.7670000195503235)","(4, 3, '0.05000000000000001', '0.04000000000000001', 0.8050000071525574)","(4, 4, '0.05000000000000001', '0.05000000000000001', 0.9539999961853027)","(4, 5, '0.05000000000000001', '0.06000000000000001', 0.9940000176429749)","(4, 6, '0.05000000000000001', '0.07', 1.0)","(4, 7, '0.05000000000000001', '0.08', 1.0)","(4, 8, '0.05000000000000001', '0.09000000000000001', 1.0)","(4, 9, '0.05000000000000001', '0.1', 1.0)"
0.06000000000000001,"(5, 0, '0.06000000000000001', '0.01', 1.0)","(5, 1, '0.06000000000000001', '0.020000000000000004', 0.9879999756813049)","(5, 2, '0.06000000000000001', '0.030000000000000006', 0.9049999713897705)","(5, 3, '0.06000000000000001', '0.04000000000000001', 0.7829999923706055)","(5, 4, '0.06000000000000001', '0.05000000000000001', 0.843999981880188)","(5, 5, '0.06000000000000001', '0.06000000000000001', 0.9580000042915344)","(5, 6, '0.06000000000000001', '0.07', 0.9959999918937683)","(5, 7, '0.06000000000000001', '0.08', 0.9980000257492065)","(5, 8, '0.06000000000000001', '0.09000000000000001', 1.0)","(5, 9, '0.06000000000000001', '0.1', 1.0)"
0.07,"(6, 0, '0.07', '0.01', 1.0)","(6, 1, '0.07', '0.020000000000000004', 0.9980000257492065)","(6, 2, '0.07', '0.030000000000000006', 0.968999981880188)","(6, 3, '0.07', '0.04000000000000001', 0.843999981880188)","(6, 4, '0.07', '0.05000000000000001', 0.7689999938011169)","(6, 5, '0.07', '0.06000000000000001', 0.9070000052452087)","(6, 6, '0.07', '0.07', 0.9670000076293945)","(6, 7, '0.07', '0.08', 0.996999979019165)","(6, 8, '0.07', '0.09000000000000001', 0.996999979019165)","(6, 9, '0.07', '0.1', 1.0)"
0.08,"(7, 0, '0.08', '0.01', 1.0)","(7, 1, '0.08', '0.020000000000000004', 1.0)","(7, 2, '0.08', '0.030000000000000006', 0.9890000224113464)","(7, 3, '0.08', '0.04000000000000001', 0.925000011920929)","(7, 4, '0.08', '0.05000000000000001', 0.7879999876022339)","(7, 5, '0.08', '0.06000000000000001', 0.8050000071525574)","(7, 6, '0.08', '0.07', 0.9150000214576721)","(7, 7, '0.08', '0.08', 0.968999981880188)","(7, 8, '0.08', '0.09000000000000001', 0.996999979019165)","(7, 9, '0.08', '0.1', 0.9980000257492065)"
0.09000000000000001,"(8, 0, '0.09000000000000001', '0.01', 1.0)","(8, 1, '0.09000000000000001', '0.020000000000000004', 1.0)","(8, 2, '0.09000000000000001', '0.030000000000000006', 0.9980000257492065)","(8, 3, '0.09000000000000001', '0.04000000000000001', 0.9769999980926514)","(8, 4, '0.09000000000000001', '0.05000000000000001', 0.8759999871253967)","(8, 5, '0.09000000000000001', '0.06000000000000001', 0.7519999742507935)","(8, 6, '0.09000000000000001', '0.07', 0.8399999737739563)","(8, 7, '0.09000000000000001', '0.08', 0.9539999961853027)","(8, 8, '0.09000000000000001', '0.09000000000000001', 0.9760000109672546)","(8, 9, '0.09000000000000001', '0.1', 0.9990000128746033)"
0.1,"(9, 0, '0.1', '0.01', 1.0)","(9, 1, '0.1', '0.020000000000000004', 1.0)","(9, 2, '0.1', '0.030000000000000006', 1.0)","(9, 3, '0.1', '0.04000000000000001', 0.9789999723434448)","(9, 4, '0.1', '0.05000000000000001', 0.9419999718666077)","(9, 5, '0.1', '0.06000000000000001', 0.7900000214576721)","(9, 6, '0.1', '0.07', 0.7429999709129333)","(9, 7, '0.1', '0.08', 0.8880000114440918)","(9, 8, '0.1', '0.09000000000000001', 0.9679999947547913)","(9, 9, '0.1', '0.1', 0.9869999885559082)"
